"sub.id" "comm.id" "type.id" "diff"
"133" "hd2079" "FrontoParietal" "load" 0.0418997437496502
"134" "hd2079" "FrontoParietal" "picture" -0.0639951256175049
"135" "hd2079" "Visual" "load" -0.13982030121583
"136" "hd2079" "Visual" "picture" 0.329922926620881
"137" "nr6957" "FrontoParietal" "load" 0.342235745210898
"138" "nr6957" "FrontoParietal" "picture" -0.113831693459849
"139" "nr6957" "Visual" "load" -0.198277064263453
"140" "nr6957" "Visual" "picture" 0.472552784196758
"141" "kg6220" "FrontoParietal" "load" -0.0541122494047514
"142" "kg6220" "FrontoParietal" "picture" -0.0518787740260693
"143" "kg6220" "Visual" "load" -0.251664037686103
"144" "kg6220" "Visual" "picture" 0.452557478582649
"145" "za7204" "FrontoParietal" "load" 0.243277086467596
"146" "za7204" "FrontoParietal" "picture" -0.0675246187111255
"147" "za7204" "Visual" "load" -0.204951518559647
"148" "za7204" "Visual" "picture" 0.436930235421651
"149" "oc1318" "FrontoParietal" "load" 0.0843694003810986
"150" "oc1318" "FrontoParietal" "picture" -0.072299669034035
"151" "oc1318" "Visual" "load" -0.22533565976213
"152" "oc1318" "Visual" "picture" 0.450543619689103
"153" "ty7521" "FrontoParietal" "load" 0.119604582577003
"154" "ty7521" "FrontoParietal" "picture" -0.0654551160123562
"155" "ty7521" "Visual" "load" -0.250915213700885
"156" "ty7521" "Visual" "picture" 0.557290924377868
"157" "hk7512" "FrontoParietal" "load" 0.114998543621677
"158" "hk7512" "FrontoParietal" "picture" -0.060514585516496
"159" "hk7512" "Visual" "load" -0.206718673171334
"160" "hk7512" "Visual" "picture" 0.433719028808884
"161" "fr3903" "FrontoParietal" "load" -0.30023615357073
"162" "fr3903" "FrontoParietal" "picture" -0.12191047784454
"163" "fr3903" "Visual" "load" -0.201301496828039
"164" "fr3903" "Visual" "picture" 0.114639577770917
"165" "du6146" "FrontoParietal" "load" -0.0579336567049742
"166" "du6146" "FrontoParietal" "picture" 0.0243845382903948
"167" "du6146" "Visual" "load" -0.218771629080575
"168" "du6146" "Visual" "picture" 0.430248700091958
"169" "sb9036" "FrontoParietal" "load" 0.0336712479661713
"170" "sb9036" "FrontoParietal" "picture" -0.180509836130712
"171" "sb9036" "Visual" "load" -0.152852104419757
"172" "sb9036" "Visual" "picture" 0.21197362667893
"173" "xj1636" "FrontoParietal" "load" 0.0920899941366699
"174" "xj1636" "FrontoParietal" "picture" -0.0530482547975649
"175" "xj1636" "Visual" "load" -0.254140857653063
"176" "xj1636" "Visual" "picture" 0.533926076135765
"177" "hf1295" "FrontoParietal" "load" 0.2120833491221
"178" "hf1295" "FrontoParietal" "picture" -0.123878791972242
"179" "hf1295" "Visual" "load" 0.0321005230509765
"180" "hf1295" "Visual" "picture" 0.128115911616435
"181" "oh9470" "FrontoParietal" "load" 0.317439963391552
"182" "oh9470" "FrontoParietal" "picture" -0.288382076504063
"183" "oh9470" "Visual" "load" 0.000618182371325382
"184" "oh9470" "Visual" "picture" -0.00121692199712253
"185" "nn8253" "FrontoParietal" "load" 0.131453981888262
"186" "nn8253" "FrontoParietal" "picture" -0.132402189876605
"187" "nn8253" "Visual" "load" -0.114626746075441
"188" "nn8253" "Visual" "picture" 0.317968340367908
"189" "te8356" "FrontoParietal" "load" 0.198235202111566
"190" "te8356" "FrontoParietal" "picture" -0.0503485923532478
"191" "te8356" "Visual" "load" -0.143464757521407
"192" "te8356" "Visual" "picture" 0.162901820357291
"193" "bq457" "FrontoParietal" "load" 0.00997407058777122
"194" "bq457" "FrontoParietal" "picture" 0.014690600641631
"195" "bq457" "Visual" "load" -0.0743142059701268
"196" "bq457" "Visual" "picture" 0.172857023181944
"197" "lk7580" "FrontoParietal" "load" 0.123084812661049
"198" "lk7580" "FrontoParietal" "picture" -0.104888050732278
"199" "lk7580" "Visual" "load" -0.0534009740805328
"200" "lk7580" "Visual" "picture" 0.20204273087377
"201" "rr7211" "FrontoParietal" "load" 0.0148964917093243
"202" "rr7211" "FrontoParietal" "picture" -0.126043990420242
"203" "rr7211" "Visual" "load" -0.0566183012708124
"204" "rr7211" "Visual" "picture" 0.260217024957421
"205" "xp8514" "FrontoParietal" "load" 0.09198862940879
"206" "xp8514" "FrontoParietal" "picture" -0.138027611871636
"207" "xp8514" "Visual" "load" -0.14282775256715
"208" "xp8514" "Visual" "picture" 0.325785965640794
"209" "ex4669" "FrontoParietal" "load" 0.0912967185385898
"210" "ex4669" "FrontoParietal" "picture" -0.0740825667420649
"211" "ex4669" "Visual" "load" -0.0868077761429004
"212" "ex4669" "Visual" "picture" 0.262568579621157
"213" "ga3285" "FrontoParietal" "load" 0.538643930374488
"214" "ga3285" "FrontoParietal" "picture" -0.236998202771187
"215" "ga3285" "Visual" "load" 0.03383695051804
"216" "ga3285" "Visual" "picture" 0.148295944836116
"217" "oa5981" "FrontoParietal" "load" 0.0481864558822189
"218" "oa5981" "FrontoParietal" "picture" -0.173060630812031
"219" "oa5981" "Visual" "load" -0.216858326715051
"220" "oa5981" "Visual" "picture" 0.129032882226116
"221" "ud5547" "FrontoParietal" "load" 0.172836400031867
"222" "ud5547" "FrontoParietal" "picture" -0.0744143053632749
"223" "ud5547" "Visual" "load" -0.105838723068767
"224" "ud5547" "Visual" "picture" 0.332577230239236
"225" "ew2469" "FrontoParietal" "load" 0.113013210871544
"226" "ew2469" "FrontoParietal" "picture" -0.124270920373639
"227" "ew2469" "Visual" "load" -0.173611136224296
"228" "ew2469" "Visual" "picture" 0.346441274818767
"229" "hi7640" "FrontoParietal" "load" 0.0402641143355391
"230" "hi7640" "FrontoParietal" "picture" -0.0446758889427061
"231" "hi7640" "Visual" "load" -0.166890143017808
"232" "hi7640" "Visual" "picture" 0.339067605019551
"233" "fh2699" "FrontoParietal" "load" 0.17217295408377
"234" "fh2699" "FrontoParietal" "picture" -0.137078244285382
"235" "fh2699" "Visual" "load" -0.118609248034777
"236" "fh2699" "Visual" "picture" 0.24987753554067
"237" "it1787" "FrontoParietal" "load" 0.0698541508404237
"238" "it1787" "FrontoParietal" "picture" 0.0831476518687194
"239" "it1787" "Visual" "load" -0.0729700906710968
"240" "it1787" "Visual" "picture" 0.145294942933553
"241" "cx9808" "FrontoParietal" "load" 0.0374717484547405
"242" "cx9808" "FrontoParietal" "picture" -0.16218208904179
"243" "cx9808" "Visual" "load" -0.13733647080134
"244" "cx9808" "Visual" "picture" 0.251728197774104
"245" "rm7208" "FrontoParietal" "load" -0.0534263351207638
"246" "rm7208" "FrontoParietal" "picture" -0.128796552287585
"247" "rm7208" "Visual" "load" -0.176229692945924
"248" "rm7208" "Visual" "picture" 0.234974607876654
"249" "ec4184" "FrontoParietal" "load" 0.0472838735263963
"250" "ec4184" "FrontoParietal" "picture" -0.0483169315448539
"251" "ec4184" "Visual" "load" -0.200530478453987
"252" "ec4184" "Visual" "picture" 0.448886201717484
"253" "zi2331" "FrontoParietal" "load" -0.0627679302427948
"254" "zi2331" "FrontoParietal" "picture" -0.00843049776466143
"255" "zi2331" "Visual" "load" -0.142223748081016
"256" "zi2331" "Visual" "picture" 0.285443958133802
"257" "vw905" "FrontoParietal" "load" 0.0168576696996727
