"sub.conc" "comm.id" "type.id" "diff"
"364" "rg1774.ty1974" "Visual" "picture" 0.128889029003862
"365" "ce5091.sr7236" "FrontoParietal" "load" 0.00106945741645954
"366" "ce5091.sr7236" "FrontoParietal" "picture" 0.014128873523599
"367" "ce5091.sr7236" "Visual" "load" 0.0149169540376797
"368" "ce5091.sr7236" "Visual" "picture" 0.0903313987479424
"369" "ej1029.so7034" "FrontoParietal" "load" 0.0146072869343689
"370" "ej1029.so7034" "FrontoParietal" "picture" 0.00892597320732438
"371" "ej1029.so7034" "Visual" "load" -0.0465518468605394
"372" "ej1029.so7034" "Visual" "picture" 0.0428098666055789
"373" "qc512.hx1258" "FrontoParietal" "load" 0.0201677840752987
"374" "qc512.hx1258" "FrontoParietal" "picture" 0.0305643307406032
"375" "qc512.hx1258" "Visual" "load" 0.0213345435230778
"376" "qc512.hx1258" "Visual" "picture" 0.0915906446272169
"377" "be2767.pa7039" "FrontoParietal" "load" 0.0172919741372762
"378" "be2767.pa7039" "FrontoParietal" "picture" -0.0195744296881051
"379" "be2767.pa7039" "Visual" "load" 0.021084178921568
"380" "be2767.pa7039" "Visual" "picture" 0.113280709216921
"381" "op8531.lf4691" "FrontoParietal" "load" -0.00583848731760001
"382" "op8531.lf4691" "FrontoParietal" "picture" 0.00460627246158618
"383" "op8531.lf4691" "Visual" "load" 0.0148114355112753
"384" "op8531.lf4691" "Visual" "picture" 0.0799691298178824
"385" "ev642.rj9981" "FrontoParietal" "load" -0.0393897939829793
"386" "ev642.rj9981" "FrontoParietal" "picture" 0.00501987509769997
"387" "ev642.rj9981" "Visual" "load" -0.0149225027578204
"388" "ev642.rj9981" "Visual" "picture" 0.103625814892851
"389" "ca495.cz9241" "FrontoParietal" "load" -0.0309475759203378
"390" "ca495.cz9241" "FrontoParietal" "picture" 0.00334465563656672
"391" "ca495.cz9241" "Visual" "load" 0.0302181290014587
"392" "ca495.cz9241" "Visual" "picture" 0.0845900809640984
"393" "nt4314.mo8565" "FrontoParietal" "load" 0.00848241252952486
"394" "nt4314.mo8565" "FrontoParietal" "picture" 0.00965892841647578
"395" "nt4314.mo8565" "Visual" "load" 0.0181818180771373
"396" "nt4314.mo8565" "Visual" "picture" 0.107278052610031
