"0bkFace.0bkFace" "0bkFace.0bkPlace" "0bkFace.2bkFace" "0bkFace.2bkPlace" "0bkPlace.0bkFace" "0bkPlace.0bkPlace" "0bkPlace.2bkFace" "0bkPlace.2bkPlace" "2bkFace.0bkFace" "2bkFace.0bkPlace" "2bkFace.2bkFace" "2bkFace.2bkPlace" "2bkPlace.0bkFace" "2bkPlace.0bkPlace" "2bkPlace.2bkFace" "2bkPlace.2bkPlace"
"pb1903.dt1372" 0.424365082138011 0.388488871346164 0.405919236278676 0.419681460075941 0.382814851194675 0.516086129205802 0.315412124121532 0.521566355909319 0.434372914071239 0.341126094790478 0.395429692128502 0.381672168004461 0.404475141319041 0.499789486559705 0.325045950107835 0.510511249567869
"pb8936.tb4452" 0.458238226883771 0.450300857006654 0.441867369360561 0.446075070370551 0.439641375955458 0.598340915349974 0.40581560460232 0.606795004131246 0.512368500663522 0.427140825486585 0.51116319259639 0.475447025624745 0.38522141178005 0.515840290748152 0.382276050384354 0.525907125682859
"ng3506.kk7321" 0.527828679880841 0.431474701636963 0.494165460131148 0.448962049297869 0.531149451882279 0.562661686074025 0.474193667846754 0.579434046690379 0.486725082915824 0.328971007489487 0.460420960259532 0.38774095518072 0.491238735159491 0.524020821463805 0.45789158452689 0.528132545304787
"ix4227.kq2702" 0.490509571036894 0.398740322678621 0.514078037770353 0.417092295170064 0.425813236311628 0.495006028627398 0.424145002819497 0.501680137489088 0.456281900037175 0.342058223364968 0.463300440800831 0.362133898997946 0.426041110710714 0.495162990405262 0.424365258307941 0.505478189059625
"vn7650.mp3370" 0.535535591373679 0.436971733899194 0.52513586139571 0.40175713642815 0.538727359463762 0.589493038585885 0.495340706734731 0.49797371232901 0.483320807907746 0.387638049137824 0.478145327615813 0.369679148352668 0.484076587538398 0.541711066094374 0.465387537631983 0.467833478322237
"su3645.la196" 0.553493173513554 0.512730891471197 0.548207065184581 0.527034964219556 0.515601328362466 0.583790279478311 0.485586897908118 0.590349480193461 0.542941682299107 0.452525697304414 0.523546917024188 0.468390978666564 0.522513002527528 0.605012208612632 0.504467005142589 0.61300191045892
"nx8660.rm5865" 0.53930181565643 0.476728084801642 0.5270393469738 0.483998900872752 0.554086412100846 0.63328969782521 0.521428362600175 0.624953365325658 0.479998446199673 0.42519616582333 0.470773375628691 0.445048787145171 0.496467225727376 0.597418967894794 0.460153759153305 0.605942788402969
"rm8505.qs9711" 0.272270540879801 0.514964577352239 0.471352226336676 0.492589216252858 0.249183026959352 0.591982960660929 0.495179140071226 0.585286903331599 0.286754957537004 0.528752473383961 0.531483281434094 0.491906929842199 0.264784594441652 0.609064309424249 0.517034596316997 0.587944898737824
"qd3657.tq2115" 0.338199789786719 0.393059196868233 0.417298426828672 0.404748544254953 0.363639404046156 0.498493529948484 0.437246757505494 0.495557075130139 0.398277597634345 0.439714487280497 0.506448705293636 0.459096884659582 0.420386077082631 0.543947012637979 0.493396748020206 0.549688164793032
"fd2525.sm1241" 0.455045388390613 0.459022917659624 0.410944556858971 0.46626161980245 0.383034290864186 0.539053287142516 0.318995768992101 0.521217125806514 0.437712825935911 0.426768408932236 0.433611760143911 0.461319655682064 0.337092304538757 0.463456766441019 0.284856470253047 0.467072657614933
