"0bkFace.0bkFace" "0bkFace.0bkPlace" "0bkFace.2bkFace" "0bkFace.2bkPlace" "0bkPlace.0bkFace" "0bkPlace.0bkPlace" "0bkPlace.2bkFace" "0bkPlace.2bkPlace" "2bkFace.0bkFace" "2bkFace.0bkPlace" "2bkFace.2bkFace" "2bkFace.2bkPlace" "2bkPlace.0bkFace" "2bkPlace.0bkPlace" "2bkPlace.2bkFace" "2bkPlace.2bkPlace"
"ig328.fp6017" 0.269261978958706 0.186278403645444 0.285069293320572 0.25661027026194 0.297813849716028 0.240937253962791 0.281666721110033 0.309381312462451 0.244280837822276 0.178713021409632 0.236791497451656 0.237284427535954 0.245255583617485 0.167537327800349 0.296739842380911 0.27521893433664
"xv7888.ie7709" 0.0551626058668017 0.0130642603004829 0.0284758174133351 0.0214386521057243 0.0867600210849808 -0.0350204363650778 0.0309961691262808 0.0679226780531239 0.0906408811143534 -0.0495307776232407 0.0434067780930559 0.071516422080861 0.0984891880734187 -0.054676267997523 0.0311062822958779 0.0880928447293418
"dy4972.vm7506" 0.0165814646086639 0.115784676682042 0.0641762604085294 0.125210138995388 0.0934113422112411 0.197546280831192 0.154291515880514 0.244966600325305 0.0421721422259515 0.114447525908824 0.114286331447518 0.287061270502251 0.0272992888853114 0.193374913510635 0.176353688896342 0.263989975490723
"vl2882.cx4373" 0.146811744890735 0.156178241220854 0.104864589369201 0.0592225454411111 0.137616755908935 0.109594243658912 0.123357435839778 0.142554710638676 0.169605850350002 0.0886220824739629 0.137437400366713 0.153370491135512 0.0144060691938598 0.0325357264403656 0.0860733100327599 0.0556159304077035
"tz3071.ss3114" 0.0615005784342073 0.103749055737585 0.0452221407638973 0.0832889908948257 0.0329719359226188 0.138418252557343 0.117456508523725 0.0719748907787476 -0.0207933011437479 0.136844870770321 0.0839121902366622 0.121994045508187 0.0543253471047012 0.139409930900557 0.0675221559677586 0.147257884152009
"et1430.pb924" 0.0484682132211015 0.12321524671396 0.104343688703773 0.0867621948164055 0.0719860257678204 0.0713971709450162 0.0869372151440794 0.0512761086139988 0.118790665404596 0.127781759534614 0.14470136052354 0.131120129296883 0.203981448482069 0.227510170901744 0.227594362004357 0.216091317378956
"ct6231.sr182" -0.0599566528593476 0.0324866127625264 0.00641631033241411 0.0332607464922845 -0.0372815554035385 0.0131447317640655 0.03681568761102 0.0337674172517375 -0.00144836321567007 0.0611828019020429 0.143537052362473 0.183941452654323 -0.00065626271063525 0.0940282022108247 0.194317145583741 0.241956987882373
"lu4060.ck6395" -0.0665188068114437 -0.135423014384673 -0.0822209765264287 -0.103570325614908 0.0772682904503379 0.0433749282581457 0.065566401231012 0.0160904871322938 0.0698235144279082 0.0908175695328806 0.133133198204178 0.114634440016332 0.022528208627836 0.0522199863001503 0.095754657765542 0.11886432931373
"tx5670.he6807" 0.0280532533403438 -0.0837500124166698 -0.0198309250566268 -0.00984520425493535 0.0277432571067467 -0.0159456468759694 0.0276975409621346 0.0558004107603192 0.0317606338401815 0.0546754360829167 0.0618353530318641 0.0814995151339411 0.00806192425694838 0.0490078564130317 0.0416281800053972 0.0911611211650628
"qz8329.aa4340" 0.105518226771078 0.0980064252543063 0.153623695908733 0.10954094133901 0.0836708733628977 0.0428731827082523 0.0557169059805484 0.0334008186023544 0.270459531155259 0.16378349208965 0.218413638566084 0.184160145187265 0.217453806978386 0.109932092958122 0.122224576634957 0.119454552353987
"lh5049.gr5225" 0.203048294084703 0.178293004972697 0.272445413740185 0.163363083027867 0.132952827859982 0.169559058692766 0.282328913477618 0.10723546066806 0.164274571229079 0.146180741357912 0.152541295602384 0.102059992106657 0.186668210756786 0.187658891826445 0.261724975448182 0.156531745233327
"ry5739.xx3869" 0.00786194412957808 0.0316164713303857 0.0047539476468932 0.00575960376201479 0.0442049567949815 0.139901507439698 0.0742343403203574 0.0890669231745936 -0.0242711770523428 0.0669728406237589 0.0356127885613441 0.0729282909893663 -0.0378226614535161 0.0549523188384247 0.0296268986158393 0.0134293761736836
